product_ID,product_name,price1,price2,unitcost,supplier_name,attn,supplier_address,supplier_city,supplier_state,supplier_zip,producttype_ID,producttype_description,buid,name,abbrev,division
41,Sulkiness Covers                     ,354,289,272,TPC East    ,N/A,N/A,N/A,N/A,0,13,Covers                 ,D        ,Miscellaneous           ,Misc          ,PEC
42,Concentrators Polishing Equipment    ,584,524,472,            ,N/A,N/A,N/A,N/A,0,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,PEC
43,Bomber Photo Equipment               ,461,400,336,            ,N/A,N/A,N/A,N/A,0,1,Photo Equipment        ,A        ,Processing Equipment    ,Equipment     ,PEC
1,Enumerator Polishing Equipment       ,164,142,135,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
2,Tailor Jacks                         ,509,429,399,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,15,Jacks                  ,D        ,Miscellaneous           ,Misc          ,TPCW
3,Sortie Covers                        ,248,213,206,Fedders Corp,Virgil Hubert,7844 Carelessly Drive,Overlook, WA,98366,13,Covers                 ,D        ,Miscellaneous           ,Misc          ,TPCW
4,Embodying Cleaning Supplies          ,250,213,207,Immunex Corp,Elbert Glad,5841 Pervades Drive,Fairfax, VA,22035,5,Cleaning Supplies      ,B        ,Disposable Supplies     ,Supplies      ,TPCW
5,Automobiles Fillers                  ,283,227,218,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,12,Fillers                ,D        ,Miscellaneous           ,Misc          ,TPCW
6,Planetesimal Manufacturing Equipment ,347,307,285,First Bancsh,Jensine Lease,11885 Aural Turnpike,Louisville, KY,40253,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
7,Commendation Fillers                 ,436,380,364,Fedders Corp,Virgil Hubert,7844 Carelessly Drive,Overlook, WA,98366,12,Fillers                ,D        ,Miscellaneous           ,Misc          ,TPCW
8,Septembers Manufacturing Equipment   ,584,522,517,Fedders Corp,Virgil Hubert,7844 Careless Drive,Overlook, WA,98366,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
9,Millimeters Flushing Chemicals       ,295,251,241,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,10,Flushing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
10,Defeated Tray Supplies               ,559,476,448,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,8,Tray Supplies          ,B        ,Disposable Supplies     ,Supplies      ,TPCW
11,Sulkiness Covers                     ,354,289,272,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,13,Covers                 ,D        ,Miscellaneous           ,Misc          ,TPCW
12,Travelings Photo Chemicals           ,274,242,225,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,122,                       ,         ,                        ,              ,TPCW
13,Coward Covers                        ,429,348,328,Fedders Corp,Virgil Hubert,7844 Carelessly Drive,Overlook, WA,98366,13,Covers                 ,D        ,Miscellaneous           ,Misc          ,TPCW
14,Engle Photo Chemicals                ,429,346,342,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,9,Photo Chemicals        ,C        ,Chemicals               ,Chemicals     ,TPCW
15,Disposed Fillers                     ,158,138,132,Fedders Corp,Virgil Hubert,7844 Carelessly Drive,Overlook, WA,98366,12,Fillers                ,D        ,Miscellaneous           ,Misc          ,TPCW
16,Enhanced Covers                      ,460,384,361,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,13,Covers                 ,D        ,Miscellaneous           ,Misc          ,TPCW
17,Optima Cleaning Supplies             ,288,255,242,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,5,Cleaning Supplies      ,B        ,Disposable Supplies     ,Supplies      ,TPCW
18,Miniaturizing Manufacturing Equipment,456,379,353,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
19,Hesitating Jacks                     ,124,100,96,First Bancsh,Jensine Lease,11885 Aural Turnpike,Louisville, KY,40253,15,Jacks                  ,D        ,Miscellaneous           ,Misc          ,TPCW
20,Flake Photo Equipment                ,232,204,194,Sinclair Bro,Carla Shelby,6037 Ecuadorian Street,Clinton, MI,49236,1,Photo Equipment        ,A        ,Processing Equipment    ,Equipment     ,TPCW
21,Denigrating Polishing Equipment      ,565,454,427,First Bancsh,Jensine Lease,11885 Aural Turnpike,Louisville, KY,40253,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
22,Whippers Covers                      ,488,410,389,Specialty Te,Zylina Cox,2161 Chalmers Street,Salinas, CA,93905,13,Covers                 ,D        ,Miscellaneous           ,Misc          ,TPCW
23,Decided Tray Supplies                ,233,202,198,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,8,Tray Supplies          ,B        ,Disposable Supplies     ,Supplies      ,TPCW
24,Bandage Manufacturing Equipment      ,298,267,253,Sinclair Bro,Carla Shelby,6037 Ecuadorian Street,Clinton, MI,49236,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
25,Chalmers Polishing Equipment         ,289,242,223,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
26,Subclasses Polishing Equipment       ,282,239,236,Saurer Grupp,Pearce Valdez,3737 Elms Drive,South Saint Paul, MN,55077,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
27,Pinnings Plastic Supplies            ,337,302,287,Saurer Grupp,Pearce Valdez,3727 Elms Drive,South Saint Paul, MN,55077,7,Plastic Supplies       ,B        ,Disposable Supplies     ,Supplies      ,TPCW
28,Wonderingly Covers                   ,547,467,453,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,13,Covers                 ,D        ,Miscellaneous           ,Misc          ,TPCW
29,Bluest Fillers                       ,507,428,398,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,12,Fillers                ,D        ,Miscellaneous           ,Misc          ,TPCW
30,Detectives Jacks                     ,283,248,236,Specialty Te,Zylina Cox,2161 Chalmers Street,Salinas, CA,93905,15,Jacks                  ,D        ,Miscellaneous           ,Misc          ,TPCW
31,Simplifier Tray Supplies             ,408,349,328,Saurer Grupp,Pearce Valdez,3727 Elms Drive,South Saint Paul, MN,55077,8,Tray Supplies          ,B        ,Disposable Supplies     ,Supplies      ,TPCW
32,Chartable Photo Equipment            ,410,347,312,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,1,Photo Equipment        ,A        ,Processing Equipment    ,Equipment     ,TPCW
33,Consumable Tray Supplies             ,395,347,337,First Bancsh,Jensine Lease,11885 Aural Turnpike,Louisville, KY,40253,8,Tray Supplies          ,B        ,Disposable Supplies     ,Supplies      ,TPCW
34,Sailors Manufacturing Equipment      ,340,290,278,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
35,Chromium Photo Equipment             ,565,457,425,Fedders Corp,Virgil Hubert,7844 Carelessly Drive,Overlook, WA,98366,1,Photo Equipment        ,A        ,Processing Equipment    ,Equipment     ,TPCW
36,Bomber Photo Equipment               ,461,400,380,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,1,Photo Equipment        ,A        ,Processing Equipment    ,Equipment     ,TPCW
37,Concentrators Polishing Equipment    ,584,524,482,Immunex Corp,Elbert Glad,5841 Pervades Drive,Fairfax, VA,22035,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
38,Syntax Polishing Equipment           ,226,190,177,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
39,Overlays Plastic Supplies            ,301,254,241,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,7,Plastic Supplies       ,B        ,Disposable Supplies     ,Supplies      ,TPCW
40,Insensitivity Manufacturing Equipment,200,180,169,First Bancsh,Jensine Lease,11885 Aural Turnpike,Louisville, KY,40253,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
41,Consideration Tray Supplies          ,172,146,139,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,8,Tray Supplies          ,B        ,Disposable Supplies     ,Supplies      ,TPCW
42,Carelessly Freezing Chemicals        ,559,467,425,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,11,Freezing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
43,Blazed Covers                        ,495,416,404,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,13,Covers                 ,D        ,Miscellaneous           ,Misc          ,TPCW
44,Birthdays Manufacturing Equipment    ,196,173,161,First Bancsh,Jensine Lease,11885 Aural Turnpike,Louisville, KY,40253,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
45,Slacking Jacks                       ,495,399,387,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,15,Jacks                  ,D        ,Miscellaneous           ,Misc          ,TPCW
46,Distantly Paper Supplies             ,518,436,418,First Bancsh,Jensine Lease,11885 Aural Turnpike,Louisville, KY,40253,6,Paper Supplies         ,B        ,Disposable Supplies     ,Supplies      ,TPCW
47,Significants Freezing Chemicals      ,141,113,104,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,11,Freezing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
48,Patriarchal Cleaning Supplies        ,351,284,264,Sinclair Bro,Carla Shelby,6037 Ecuadorian Street,Clinton, MI,49236,5,Cleaning Supplies      ,B        ,Disposable Supplies     ,Supplies      ,TPCW
49,Visage Flushing Chemicals            ,567,507,466,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,10,Flushing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
50,Restarts Paper Supplies              ,524,448,425,Specialty Te,Zylina Cox,2161 Chalmers Street,Salinas, CA,93905,6,Paper Supplies         ,B        ,Disposable Supplies     ,Supplies      ,TPCW
51,Reflection Lifts                     ,497,447,438,Fedders Corp,Virgil Hubert,7844 Carelessly Drive,Overlook, WA,98366,14,Lifts                  ,D        ,Miscellaneous           ,Misc          ,TPCW
52,Identical Freezing Chemicals         ,578,465,447,Sinclair Bro,Carla Shelby,6037 Ecuadorian Street,Clinton, MI,49236,11,Freezing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
53,Ruffle Freezing Chemicals            ,476,394,379,Immunex Corp,Elbert Glad,5841 Pervades Drive,Fairfax, VA,22035,11,Freezing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
54,Honeymoon Photo Chemicals            ,326,292,271,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,9,Photo Chemicals        ,C        ,Chemicals               ,Chemicals     ,TPCW
55,Bumblers Plastic Supplies            ,545,466,447,First Bancsh,Jensine Lease,11885 Aural Turnpike,Louisville, KY,40253,7,Plastic Supplies       ,B        ,Disposable Supplies     ,Supplies      ,TPCW
56,Allis Polishing Equipment            ,201,176,160,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
57,South Tray Supplies                  ,241,205,203,Sinclair Bro,Carla Shelby,6037 Ecuadorian Street,Clinton, MI,49236,8,Tray Supplies          ,B        ,Disposable Supplies     ,Supplies      ,TPCW
58,Characterization Plastic Supplies    ,231,185,168,Fedders Corp,Virgil Hubert,7844 Carelessly Drive,Overlook, WA,98366,7,Plastic Supplies       ,B        ,Disposable Supplies     ,Supplies      ,TPCW
59,Tonnage Plastic Supplies             ,368,315,309,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,7,Plastic Supplies       ,B        ,Disposable Supplies     ,Supplies      ,TPCW
60,Habitually Manufacturing Equipment   ,509,419,394,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
61,Courthouses Manufacturing Equipment  ,285,243,231,First Bancsh,Jensine Lease,11885 Aural Turnpike,Louisville, KY,40253,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
62,Substances Flushing Chemicals        ,507,409,397,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,10,Flushing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
63,Weeks Polishing Equipment            ,198,174,168,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
64,Berwick Fillers                      ,583,487,463,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,12,Fillers                ,D        ,Miscellaneous           ,Misc          ,TPCW
65,Extinguisher Manufacturing Equipment ,120,98,90,Sinclair Bro,Carla Shelby,6037 Ecuadorian Street,Clinton, MI,49236,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
66,Exemplar Freezing Chemicals          ,198,160,152,Fedders Corp,Virgil Hubert,7844 Carelessly Drive,Overlook, WA,98366,11,Freezing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
67,Occlusion Manufacturing Equipment    ,199,177,164,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
68,Loaves Polishing Equipment           ,425,361,354,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
69,Hits Tray Supplies                   ,439,359,341,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,8,Tray Supplies          ,B        ,Disposable Supplies     ,Supplies      ,TPCW
70,Escape Manufacturing Equipment       ,584,523,507,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
71,Simulations Photo Equipment          ,318,255,245,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,1,Photo Equipment        ,A        ,Processing Equipment    ,Equipment     ,TPCW
72,Anthem Tray Supplies                 ,134,112,109,Fedders Corp,Virgil Hubert,7844 Carelessly Drive,Overlook, WA,98366,8,Tray Supplies          ,B        ,Disposable Supplies     ,Supplies      ,TPCW
73,Cosgrove Jacks                       ,298,267,254,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,15,Jacks                  ,D        ,Miscellaneous           ,Misc          ,TPCW
74,Flanker Fillers                      ,271,236,219,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,12,Fillers                ,D        ,Miscellaneous           ,Misc          ,TPCW
75,Deferrable Freezing Chemicals        ,145,124,113,Sinclair Bro,Carla Shelby,6027 Ecuadorian Street,Clinton, MI,49236,11,Freezing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
76,Scrounge Jacks                       ,301,251,248,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,15,Jacks                  ,D        ,Miscellaneous           ,Misc          ,TPCW
77,Vastest Photo Equipment              ,498,442,420,Sinclair Bro,Carla Shelby,6037 Ecuadorian Street,Clinton, MI,49236,1,Photo Equipment        ,A        ,Processing Equipment    ,Equipment     ,TPCW
78,Measured Photo Chemicals             ,318,270,254,Immunex Corp,Elbert Glad,5841 Pervades Drive,Fairfax, VA,22035,9,Photo Chemicals        ,C        ,Chemicals               ,Chemicals     ,TPCW
79,Siena Plastic Supplies               ,155,136,132,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,7,Plastic Supplies       ,B        ,Disposable Supplies     ,Supplies      ,TPCW
80,Temporally Plastic Supplies          ,477,408,371,Fedders Corp,Virgil Hubert,7844 Carelessly Drive,Overlook, WA,98366,7,Plastic Supplies       ,B        ,Disposable Supplies     ,Supplies      ,TPCW
81,Palm Polishing Equipment             ,122,105,103,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
82,Numerals Covers                      ,102,88,83,Sinclair Bro,Carla Shelby,6037 Ecuadorian Street,Clinton, MI,49236,13,Covers                 ,D        ,Miscellaneous           ,Misc          ,TPCW
83,Horses Lifts                         ,487,402,366,Saurer Grupp,Pearce Valdez,3727 Elms Drive,South Saint Paul, MN,55077,14,Lifts                  ,D        ,Miscellaneous           ,Misc          ,TPCW
84,Unjust Paper Supplies                ,222,182,176,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,6,Paper Supplies         ,B        ,Disposable Supplies     ,Supplies      ,TPCW
85,Disallow Manufacturing Equipment     ,165,145,144,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
86,Soya Cleaning Supplies               ,406,345,345,Specialty Te,Zylina Cox,2161 Chalmers Street,Salinas, CA,93905,5,Cleaning Supplies      ,B        ,Disposable Supplies     ,Supplies      ,TPCW
87,Suing Manufacturing Equipment        ,482,426,401,First Bancsh,Jensine Lease,11885 Aural Turnpike,Louisville, KY,40253,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
88,Vestiges Tray Supplies               ,231,192,186,Saurer Grupp,Pearce Valdez,3727 Elms Drive,South Saint Paul, MN,55077,8,Tray Supplies          ,B        ,Disposable Supplies     ,Supplies      ,TPCW
89,Travel Paper Supplies                ,129,108,103,Saurer Grupp,Pearce Valdez,3727 Elms Drive,South Saint Paul, MN,55077,6,Paper Supplies         ,B        ,Disposable Supplies     ,Supplies      ,TPCW
90,Curiouser Cleaning Supplies          ,419,364,338,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,5,Cleaning Supplies      ,B        ,Disposable Supplies     ,Supplies      ,TPCW
91,Scribble Plastic Supplies            ,492,405,397,Specialty Te,Zylina Cox,2161 Chalmers Street,Salinas, CA,93905,7,Plastic Supplies       ,B        ,Disposable Supplies     ,Supplies      ,TPCW
92,Behind Tray Supplies                 ,166,138,129,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,8,Tray Supplies          ,B        ,Disposable Supplies     ,Supplies      ,TPCW
93,Bellowing Polishing Equipment        ,502,451,446,First Bancsh,Jensine Lease,11885 Aural Turnpike,Louisville, KY,40253,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
94,Beliefs Freezing Chemicals           ,566,483,454,Immunex Corp,Elbert Glad,5841 Pervades Drive,Fairfax, VA,22035,11,Freezing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
95,Duplicator Polishing Equipment       ,544,465,432,Afg Industri,Dorothy Polk,5377 Cookbook Circle,Vero Beach, FL,32967,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,TPCW
96,Drafty Cleaning Supplies             ,107,92,88,Black Hills ,Edena Gilbert,1618 Greenland Street,Tallahassee, FL,32304,5,Cleaning Supplies      ,B        ,Disposable Supplies     ,Supplies      ,TPCW
97,Stickiest Paper Supplies             ,575,502,467,Black Hills ,Edena Gilbert,1618 Greenland Street,Talahassee, FL,32304,6,Paper Supplies         ,B        ,Disposable Supplies     ,Supplies      ,TPCW
98,Barrels Flushing Chemicals           ,135,116,108,Specialty Te,Zylina Cox,2161 Chalmers Street,Salinas, CA,93905,10,Flushing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
99,Richards Freezing Chemicals          ,529,475,470,Dollar Gener,Antoinette Hickey,3988 Chanced Avenue,S Middleton, PA,17007,11,Freezing Chemicals     ,C        ,Chemicals               ,Chemicals     ,TPCW
100,Pervasively Manufacturing Equipment  ,374,334,308,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,2,Manufacturing Equip    ,A        ,Processing Equipment    ,Equipment     ,TPCW
101,Optima Cleaning Supplies             ,288,255,242,American Gen,Kimberly Yarborough,1616 Goggles Drive,Sterling, KS,67579,5,Cleaning Supplies      ,B        ,Disposable Supplies     ,Supplies      ,TPCW
102,Measured Photo Chemicals             ,318,270,254,Immunex Corp,Elbert Glad,5841 Pervades Drive,Fairfax, VA,22035,9,Photo Chemicals        ,C        ,Chemicals               ,Chemicals     ,TPCW
