salesDate,sales_year,sales_quarter,sales_month,sales_week,Sales_Fiscal_Quarter,Sales_Fiscal_Year,Sales_Fiscal_Month,Sales_Fiscal_Week
9/3/2005,2005,3,9,36,2,2005,6,24
9/4/2005,2005,3,9,37,2,2005,6,25
9/5/2005,2005,3,9,37,2,2005,6,25
9/6/2005,2005,3,9,37,2,2005,6,25
9/7/2005,2005,3,9,37,2,2005,6,25
9/8/2005,2005,3,9,37,2,2005,6,25
9/9/2005,2005,3,9,37,2,2005,6,25
9/10/2005,2005,3,9,37,2,2005,6,25
9/11/2005,2005,3,9,38,2,2005,6,26
9/12/2005,2005,3,9,38,2,2005,6,26
9/13/2005,2005,3,9,38,2,2005,6,26
9/14/2005,2005,3,9,38,2,2005,6,26
9/15/2005,2005,3,9,38,2,2005,6,26
9/16/2005,2005,3,9,38,2,2005,6,26
9/17/2005,2005,3,9,38,2,2005,6,26
9/18/2005,2005,3,9,39,2,2005,6,27
9/19/2005,2005,3,9,39,2,2005,6,27
9/20/2005,2005,3,9,39,2,2005,6,27
9/21/2005,2005,3,9,39,2,2005,6,27
9/22/2005,2005,3,9,39,2,2005,6,27
9/23/2005,2005,3,9,39,2,2005,6,27
9/24/2005,2005,3,9,39,2,2005,6,27
9/25/2005,2005,3,9,40,2,2005,6,28
9/26/2005,2005,3,9,40,2,2005,6,28
9/27/2005,2005,3,9,40,2,2005,6,28
9/28/2005,2005,3,9,40,2,2005,6,28
9/29/2005,2005,3,9,40,2,2005,6,28
9/30/2005,2005,3,9,40,2,2005,6,28
10/1/2005,2005,4,10,40,3,2005,7,28
10/2/2005,2005,4,10,41,3,2005,7,29
10/3/2005,2005,4,10,41,3,2005,7,29
10/4/2005,2005,4,10,41,3,2005,7,29
10/5/2005,2005,4,10,41,3,2005,7,29
10/6/2005,2005,4,10,41,3,2005,7,29
10/7/2005,2005,4,10,41,3,2005,7,29
10/8/2005,2005,4,10,41,3,2005,7,29
10/9/2005,2005,4,10,42,3,2005,7,30
10/10/2005,2005,4,10,42,3,2005,7,30
10/11/2005,2005,4,10,42,3,2005,7,30
10/12/2005,2005,4,10,42,3,2005,7,30
10/13/2005,2005,4,10,42,3,2005,7,30
10/14/2005,2005,4,10,42,3,2005,7,30
10/15/2005,2005,4,10,42,3,2005,7,30
10/16/2005,2005,4,10,43,3,2005,7,31
10/17/2005,2005,4,10,43,3,2005,7,31
10/18/2005,2005,4,10,43,3,2005,7,31
10/19/2005,2005,4,10,43,3,2005,7,31
10/20/2005,2005,4,10,43,3,2005,7,31
10/21/2005,2005,4,10,43,3,2005,7,31
10/22/2005,2005,4,10,43,3,2005,7,31
10/23/2005,2005,4,10,44,3,2005,7,32
10/24/2005,2005,4,10,44,3,2005,7,32
10/25/2005,2005,4,10,44,3,2005,7,32
10/26/2005,2005,4,10,44,3,2005,7,32
10/27/2005,2005,4,10,44,3,2005,7,32
10/28/2005,2005,4,10,44,3,2005,7,32
10/29/2005,2005,4,10,44,3,2005,7,32
10/30/2005,2005,4,10,45,3,2005,7,33
10/31/2005,2005,4,10,45,3,2005,7,33
11/1/2005,2005,4,11,45,3,2005,8,33
11/2/2005,2005,4,11,45,3,2005,8,33
11/3/2005,2005,4,11,45,3,2005,8,33
11/4/2005,2005,4,11,45,3,2005,8,33
11/5/2005,2005,4,11,45,3,2005,8,33
11/6/2005,2005,4,11,46,3,2005,8,34
11/7/2005,2005,4,11,46,3,2005,8,34
11/8/2005,2005,4,11,46,3,2005,8,34
11/9/2005,2005,4,11,46,3,2005,8,34
11/10/2005,2005,4,11,46,3,2005,8,34
11/11/2005,2005,4,11,46,3,2005,8,34
11/12/2005,2005,4,11,46,3,2005,8,34
11/13/2005,2005,4,11,47,3,2005,8,35
11/14/2005,2005,4,11,47,3,2005,8,35
11/15/2005,2005,4,11,47,3,2005,8,35
11/16/2005,2005,4,11,47,3,2005,8,35
11/17/2005,2005,4,11,47,3,2005,8,35
11/18/2005,2005,4,11,47,3,2005,8,35
11/19/2005,2005,4,11,47,3,2005,8,35
11/20/2005,2005,4,11,48,3,2005,8,36
11/21/2005,2005,4,11,48,3,2005,8,36
11/22/2005,2005,4,11,48,3,2005,8,36
11/23/2005,2005,4,11,48,3,2005,8,36
11/24/2005,2005,4,11,48,3,2005,8,36
11/25/2005,2005,4,11,48,3,2005,8,36
11/26/2005,2005,4,11,48,3,2005,8,36
11/27/2005,2005,4,11,49,3,2005,8,37
11/28/2005,2005,4,11,49,3,2005,8,37
11/29/2005,2005,4,11,49,3,2005,8,37
11/30/2005,2005,4,11,49,3,2005,8,37
12/1/2005,2005,4,12,49,3,2005,9,37
12/2/2005,2005,4,12,49,3,2005,9,37
12/3/2005,2005,4,12,49,3,2005,9,37
12/4/2005,2005,4,12,50,3,2005,9,38
12/5/2005,2005,4,12,50,3,2005,9,38
12/6/2005,2005,4,12,50,3,2005,9,38
12/7/2005,2005,4,12,50,3,2005,9,38
12/8/2005,2005,4,12,50,3,2005,9,38
12/9/2005,2005,4,12,50,3,2005,9,38
12/10/2005,2005,4,12,50,3,2005,9,38
12/11/2005,2005,4,12,51,3,2005,9,39
12/12/2005,2005,4,12,51,3,2005,9,39
12/13/2005,2005,4,12,51,3,2005,9,39
12/14/2005,2005,4,12,51,3,2005,9,39
12/15/2005,2005,4,12,51,3,2005,9,39
12/16/2005,2005,4,12,51,3,2005,9,39
12/17/2005,2005,4,12,51,3,2005,9,39
12/18/2005,2005,4,12,52,3,2005,9,40
12/19/2005,2005,4,12,52,3,2005,9,40
12/20/2005,2005,4,12,52,3,2005,9,40
12/21/2005,2005,4,12,52,3,2005,9,40
12/22/2005,2005,4,12,52,3,2005,9,40
12/23/2005,2005,4,12,52,3,2005,9,40
12/24/2005,2005,4,12,52,3,2005,9,40
12/25/2005,2005,4,12,53,3,2005,9,41
12/26/2005,2005,4,12,53,3,2005,9,41
12/27/2005,2005,4,12,53,3,2005,9,41
12/28/2005,2005,4,12,53,3,2005,9,41
12/29/2005,2005,4,12,53,3,2005,9,41
12/30/2005,2005,4,12,53,3,2005,9,41
12/31/2005,2005,4,12,53,3,2005,9,41
1/1/2006,2006,1,1,1,4,2006,10,41
1/2/2006,2006,1,1,1,4,2006,10,41
1/3/2006,2006,1,1,1,4,2006,10,41
1/4/2006,2006,1,1,1,4,2006,10,41
1/5/2006,2006,1,1,1,4,2006,10,41
1/6/2006,2006,1,1,1,4,2006,10,41
1/7/2006,2006,1,1,1,4,2006,10,41
1/8/2006,2006,1,1,2,4,2006,10,42
1/9/2006,2006,1,1,2,4,2006,10,42
1/10/2006,2006,1,1,2,4,2006,10,42
1/11/2006,2006,1,1,2,4,2006,10,42
1/12/2006,2006,1,1,2,4,2006,10,42
1/13/2006,2006,1,1,2,4,2006,10,42
1/14/2006,2006,1,1,2,4,2006,10,42
1/15/2006,2006,1,1,3,4,2006,10,43
1/16/2006,2006,1,1,3,4,2006,10,43
1/17/2006,2006,1,1,3,4,2006,10,43
1/18/2006,2006,1,1,3,4,2006,10,43
1/19/2006,2006,1,1,3,4,2006,10,43
1/20/2006,2006,1,1,3,4,2006,10,43
1/21/2006,2006,1,1,3,4,2006,10,43
1/22/2006,2006,1,1,4,4,2006,10,44
1/23/2006,2006,1,1,4,4,2006,10,44
1/24/2006,2006,1,1,4,4,2006,10,44
1/25/2006,2006,1,1,4,4,2006,10,44
1/26/2006,2006,1,1,4,4,2006,10,44
1/27/2006,2006,1,1,4,4,2006,10,44
1/28/2006,2006,1,1,4,4,2006,10,44
1/29/2006,2006,1,1,5,4,2006,10,45
1/30/2006,2006,1,1,5,4,2006,10,45
1/31/2006,2006,1,1,5,4,2006,10,45
2/1/2006,2006,1,2,5,4,2006,11,45
2/2/2006,2006,1,2,5,4,2006,11,45
2/3/2006,2006,1,2,5,4,2006,11,45
2/4/2006,2006,1,2,5,4,2006,11,45
2/5/2006,2006,1,2,6,4,2006,11,46
2/6/2006,2006,1,2,6,4,2006,11,46
2/7/2006,2006,1,2,6,4,2006,11,46
2/8/2006,2006,1,2,6,4,2006,11,46
2/9/2006,2006,1,2,6,4,2006,11,46
2/10/2006,2006,1,2,6,4,2006,11,46
2/11/2006,2006,1,2,6,4,2006,11,46
2/12/2006,2006,1,2,7,4,2006,11,47
2/13/2006,2006,1,2,7,4,2006,11,47
2/14/2006,2006,1,2,7,4,2006,11,47
2/15/2006,2006,1,2,7,4,2006,11,47
2/16/2006,2006,1,2,7,4,2006,11,47
2/17/2006,2006,1,2,7,4,2006,11,47
2/18/2006,2006,1,2,7,4,2006,11,47
2/19/2006,2006,1,2,8,4,2006,11,48
2/20/2006,2006,1,2,8,4,2006,11,48
2/21/2006,2006,1,2,8,4,2006,11,48
2/22/2006,2006,1,2,8,4,2006,11,48
2/23/2006,2006,1,2,8,4,2006,11,48
2/24/2006,2006,1,2,8,4,2006,11,48
2/25/2006,2006,1,2,8,4,2006,11,48
2/26/2006,2006,1,2,9,4,2006,11,49
2/27/2006,2006,1,2,9,4,2006,11,49
2/28/2006,2006,1,2,9,4,2006,11,49
3/1/2006,2006,1,3,9,4,2006,12,49
3/2/2006,2006,1,3,9,4,2006,12,49
3/3/2006,2006,1,3,9,4,2006,12,49
3/4/2006,2006,1,3,9,4,2006,12,49
3/5/2006,2006,1,3,10,4,2006,12,50
3/6/2006,2006,1,3,10,4,2006,12,50
3/7/2006,2006,1,3,10,4,2006,12,50
3/8/2006,2006,1,3,10,4,2006,12,50
3/9/2006,2006,1,3,10,4,2006,12,50
3/10/2006,2006,1,3,10,4,2006,12,50
3/11/2006,2006,1,3,10,4,2006,12,50
3/12/2006,2006,1,3,11,4,2006,12,51
3/13/2006,2006,1,3,11,4,2006,12,51
3/14/2006,2006,1,3,11,4,2006,12,51
3/15/2006,2006,1,3,11,4,2006,12,51
3/16/2006,2006,1,3,11,4,2006,12,51
3/17/2006,2006,1,3,11,4,2006,12,51
3/18/2006,2006,1,3,11,4,2006,12,51
3/19/2006,2006,1,3,12,4,2006,12,52
3/20/2006,2006,1,3,12,4,2006,12,52
3/21/2006,2006,1,3,12,4,2006,12,52
3/22/2006,2006,1,3,12,4,2006,12,52
3/23/2006,2006,1,3,12,4,2006,12,52
3/24/2006,2006,1,3,12,4,2006,12,52
3/25/2006,2006,1,3,12,4,2006,12,52
3/26/2006,2006,1,3,13,4,2006,12,1
3/27/2006,2006,1,3,13,4,2006,12,1
3/28/2006,2006,1,3,13,4,2006,12,1
3/29/2006,2006,1,3,13,4,2006,12,1
3/30/2006,2006,1,3,13,4,2006,12,1
3/31/2006,2006,1,3,13,4,2006,12,1
4/1/2006,2006,2,4,13,1,2006,1,1
4/2/2006,2006,2,4,14,1,2006,1,2
4/3/2006,2006,2,4,14,1,2006,1,2
4/4/2006,2006,2,4,14,1,2006,1,2
4/5/2006,2006,2,4,14,1,2006,1,2
4/6/2006,2006,2,4,14,1,2006,1,2
4/7/2006,2006,2,4,14,1,2006,1,2
4/8/2006,2006,2,4,14,1,2006,1,2
4/9/2006,2006,2,4,15,1,2006,1,3
4/10/2006,2006,2,4,15,1,2006,1,3
4/11/2006,2006,2,4,15,1,2006,1,3
4/12/2006,2006,2,4,15,1,2006,1,3
4/13/2006,2006,2,4,15,1,2006,1,3
4/14/2006,2006,2,4,15,1,2006,1,3
4/15/2006,2006,2,4,15,1,2006,1,3
4/16/2006,2006,2,4,16,1,2006,1,4
4/17/2006,2006,2,4,16,1,2006,1,4
4/18/2006,2006,2,4,16,1,2006,1,4
4/19/2006,2006,2,4,16,1,2006,1,4
4/20/2006,2006,2,4,16,1,2006,1,4
4/21/2006,2006,2,4,16,1,2006,1,4
4/22/2006,2006,2,4,16,1,2006,1,4
4/23/2006,2006,2,4,17,1,2006,1,5
4/24/2006,2006,2,4,17,1,2006,1,5
4/25/2006,2006,2,4,17,1,2006,1,5
4/26/2006,2006,2,4,17,1,2006,1,5
4/27/2006,2006,2,4,17,1,2006,1,5
4/28/2006,2006,2,4,17,1,2006,1,5
4/29/2006,2006,2,4,17,1,2006,1,5
4/30/2006,2006,2,4,18,1,2006,1,6
5/1/2006,2006,2,5,18,1,2006,2,6
5/2/2006,2006,2,5,18,1,2006,2,6
5/3/2006,2006,2,5,18,1,2006,2,6
5/4/2006,2006,2,5,18,1,2006,2,6
5/5/2006,2006,2,5,18,1,2006,2,6
5/6/2006,2006,2,5,18,1,2006,2,6
5/7/2006,2006,2,5,19,1,2006,2,7
5/8/2006,2006,2,5,19,1,2006,2,7
5/9/2006,2006,2,5,19,1,2006,2,7
5/10/2006,2006,2,5,19,1,2006,2,7
5/11/2006,2006,2,5,19,1,2006,2,7
5/12/2006,2006,2,5,19,1,2006,2,7
5/13/2006,2006,2,5,19,1,2006,2,7
5/14/2006,2006,2,5,20,1,2006,2,8
5/15/2006,2006,2,5,20,1,2006,2,8
5/16/2006,2006,2,5,20,1,2006,2,8
5/17/2006,2006,2,5,20,1,2006,2,8
5/18/2006,2006,2,5,20,1,2006,2,8
5/19/2006,2006,2,5,20,1,2006,2,8
5/20/2006,2006,2,5,20,1,2006,2,8
5/21/2006,2006,2,5,21,1,2006,2,9
5/22/2006,2006,2,5,21,1,2006,2,9
5/23/2006,2006,2,5,21,1,2006,2,9
5/24/2006,2006,2,5,21,1,2006,2,9
5/25/2006,2006,2,5,21,1,2006,2,9
5/26/2006,2006,2,5,21,1,2006,2,9
5/27/2006,2006,2,5,21,1,2006,2,9
5/28/2006,2006,2,5,22,1,2006,2,10
5/29/2006,2006,2,5,22,1,2006,2,10
5/30/2006,2006,2,5,22,1,2006,2,10
5/31/2006,2006,2,5,22,1,2006,2,10
6/1/2006,2006,2,6,22,1,2006,3,10
6/2/2006,2006,2,6,22,1,2006,3,10
6/3/2006,2006,2,6,22,1,2006,3,10
6/4/2006,2006,2,6,23,1,2006,3,11
6/5/2006,2006,2,6,23,1,2006,3,11
6/6/2006,2006,2,6,23,1,2006,3,11
6/7/2006,2006,2,6,23,1,2006,3,11
6/8/2006,2006,2,6,23,1,2006,3,11
6/9/2006,2006,2,6,23,1,2006,3,11
6/10/2006,2006,2,6,23,1,2006,3,11
6/11/2006,2006,2,6,24,1,2006,3,12
6/12/2006,2006,2,6,24,1,2006,3,12
6/13/2006,2006,2,6,24,1,2006,3,12
6/14/2006,2006,2,6,24,1,2006,3,12
6/15/2006,2006,2,6,24,1,2006,3,12
6/16/2006,2006,2,6,24,1,2006,3,12
6/17/2006,2006,2,6,24,1,2006,3,12
6/18/2006,2006,2,6,25,1,2006,3,13
6/19/2006,2006,2,6,25,1,2006,3,13
6/20/2006,2006,2,6,25,1,2006,3,13
6/21/2006,2006,2,6,25,1,2006,3,13
6/22/2006,2006,2,6,25,1,2006,3,13
6/23/2006,2006,2,6,25,1,2006,3,13
6/24/2006,2006,2,6,25,1,2006,3,13
6/25/2006,2006,2,6,26,1,2006,3,14
6/26/2006,2006,2,6,26,1,2006,3,14
6/27/2006,2006,2,6,26,1,2006,3,14
6/28/2006,2006,2,6,26,1,2006,3,14
6/29/2006,2006,2,6,26,1,2006,3,14
6/30/2006,2006,2,6,26,1,2006,3,14
7/1/2006,2006,3,7,26,2,2006,4,14
7/2/2006,2006,3,7,27,2,2006,4,15
7/3/2006,2006,3,7,27,2,2006,4,15
7/4/2006,2006,3,7,27,2,2006,4,15
7/5/2006,2006,3,7,27,2,2006,4,15
7/6/2006,2006,3,7,27,2,2006,4,15
7/7/2006,2006,3,7,27,2,2006,4,15
