prodid,prod_name,price1,price2,unitcost,supplier_name,attn,supplier_address,supplier_city,supplier_state,supplier_zip,prodtype_ID,PRODTYPEID,TYPEDESCRIPTION,BUID,BUID_1,NAME,ABBREV,division
 0027,Pinnings Plastic Supplies            ,337.17    ,302.44    ,287.32    ,Saurer Gruppe Holding Agency      ,Pearce Valdez                 ,3727 Elms Drive           ,South Saint Paul, MN,55077    , 0007, 00007,Plastic Supplies       ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0028,Wonderingly Covers                   ,547.21    ,467.32    ,453.3     ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0013, 00013,Covers                 ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0029,Bluest Fillers                       ,507.35    ,428.2     ,398.23    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0012, 00012,Fillers                ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0030,Detectives Jacks                     ,283.32    ,248.47    ,236.05    ,Specialty Teleconstructors Incorpo,Zylina Cox                    ,2161 Chalmers Street      ,Salinas, CA,93905    , 0015, 00015,Jacks                  ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0031,Simplifier Tray Supplies             ,408.81    ,349.12    ,328.17    ,Saurer Gruppe Holding Agency      ,Pearce Valdez                 ,3727 Elms Drive           ,South Saint Paul, MN,55077    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0032,Chartable Photo Equipment            ,410.17    ,347.41    ,312.67    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0001, 00001,Photo Equipment        ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0033,Consumable Tray Supplies             ,395.7     ,347.42    ,337       ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0034,Sailors Manufacturing Equipment      ,340.48    ,290.43    ,278.81    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0035,Chromium Photo Equipment             ,565.5     ,457.49    ,425.47    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0001, 00001,Photo Equipment        ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0036,Bomber Photo Equipment               ,461.34    ,400.44    ,380.42    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0001, 00001,Photo Equipment        ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0037,Concentrators Polishing Equipment    ,584.57    ,524.94    ,482.94    ,Immunex Corporation               ,Elbert Glad                   ,5841 Pervades Drive       ,Fairfax, VA,22035    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0038,Syntax Polishing Equipment           ,226.72    ,190.9     ,177.54    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0039,Overlays Plastic Supplies            ,301.08    ,254.41    ,241.69    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0007, 00007,Plastic Supplies       ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0040,Insensitivity Manufacturing Equipment,200.71    ,180.44    ,169.61    ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0041,Consideration Tray Supplies          ,172.56    ,146.85    ,139.51    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0042,Carelessly Freezing Chemicals        ,559.67    ,467.88    ,425.77    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0043,Blazed Covers                        ,495       ,416.79    ,404.29    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0013, 00013,Covers                 ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0044,Birthdays Manufacturing Equipment    ,196.56    ,173.17    ,161.05    ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0045,Slacking Jacks                       ,495.04    ,399.99    ,387.99    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0015, 00015,Jacks                  ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0046,Distantly Paper Supplies             ,518.49    ,436.05    ,418.61    ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0006, 00006,Paper Supplies         ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0047,Significants Freezing Chemicals      ,141.55    ,113.24    ,104.18    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0048,Patriarchal Cleaning Supplies        ,351.54    ,284.75    ,264.82    ,Sinclair Broadcast Group Incorpora,Carla Shelby                  ,6037 Ecuadorian Street    ,Clinton, MI,49236    , 0005, 00005,Cleaning Supplies      ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0049,Visage Flushing Chemicals            ,567.75    ,507.57    ,466.96    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0010, 00010,Flushing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0050,Restarts Paper Supplies              ,524.38    ,448.34    ,425.92    ,Specialty Teleconstructors Incorpo,Zylina Cox                    ,2161 Chalmers Street      ,Salinas, CA,93905    , 0006, 00006,Paper Supplies         ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0051,Reflection Lifts                     ,497.85    ,447.57    ,438.62    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0014, 00014,Lifts                  ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0052,Identical Freezing Chemicals         ,578.07    ,465.92    ,447.28    ,Sinclair Broadcast Group Incorpora,Carla Shelby                  ,6037 Ecuadorian Street    ,Clinton, MI,49236    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0053,Ruffle Freezing Chemicals            ,476.38    ,394.92    ,379.12    ,Immunex Corporation               ,Elbert Glad                   ,5841 Pervades Drive       ,Fairfax, VA,22035    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0054,Honeymoon Photo Chemicals            ,326.13    ,292.21    ,271.76    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0009, 00009,Photo Chemicals        ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0055,Bumblers Plastic Supplies            ,545.31    ,466.24    ,447.59    ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0007, 00007,Plastic Supplies       ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0056,Allis Polishing Equipment            ,201.77    ,176.35    ,160.48    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0057,South Tray Supplies                  ,241.3     ,205.1     ,203.05    ,Sinclair Broadcast Group Incorpora,Carla Shelby                  ,6037 Ecuadorian Street    ,Clinton, MI,49236    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0058,Characterization Plastic Supplies    ,231.68    ,185.58    ,168.88    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0007, 00007,Plastic Supplies       ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0059,Tonnage Plastic Supplies             ,368.75    ,315.65    ,309.34    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0007, 00007,Plastic Supplies       ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0060,Habitually Manufacturing Equipment   ,509.3     ,419.15    ,394       ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0061,Courthouses Manufacturing Equipment  ,285.62    ,243.63    ,231.45    ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0062,Substances Flushing Chemicals        ,507.34    ,409.93    ,397.63    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0010, 00010,Flushing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0063,Weeks Polishing Equipment            ,198.83    ,174.18    ,168.95    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0064,Berwick Fillers                      ,583.85    ,487.51    ,463.13    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0012, 00012,Fillers                ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0065,Extinguisher Manufacturing Equipment ,120.39    ,98.36     ,90.49     ,Sinclair Broadcast Group Incorpora,Carla Shelby                  ,6037 Ecuadorian Street    ,Clinton, MI,49236    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0066,Exemplar Freezing Chemicals          ,198.4     ,160.9     ,152.85    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0067,Occlusion Manufacturing Equipment    ,199.88    ,177.29    ,164.88    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0068,Loaves Polishing Equipment           ,425.59    ,361.33    ,354.1     ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0069,Hits Tray Supplies                   ,439.53    ,359.1     ,341.14    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0070,Escape Manufacturing Equipment       ,584.38    ,523.6     ,507.89    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0071,Simulations Photo Equipment          ,318.38    ,255.66    ,245.43    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0001, 00001,Photo Equipment        ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0072,Anthem Tray Supplies                 ,134.92    ,112.39    ,109.02    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0073,Cosgrove Jacks                       ,298.87    ,267.79    ,254.4     ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0015, 00015,Jacks                  ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0074,Flanker Fillers                      ,271.44    ,236.15    ,219.62    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0012, 00012,Fillers                ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0075,Deferrable Freezing Chemicals        ,145.03    ,124.44    ,113.24    ,Sinclair Broadcast Group Incorpora,Carla Shelby                  ,6027 Ecuadorian Street    ,Clinton, MI,49236    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0076,Scrounge Jacks                       ,301.58    ,251.22    ,248.71    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0015, 00015,Jacks                  ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0077,Vastest Photo Equipment              ,498.08    ,442.3     ,420.19    ,Sinclair Broadcast Group Incorpora,Carla Shelby                  ,6037 Ecuadorian Street    ,Clinton, MI,49236    , 0001, 00001,Photo Equipment        ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0078,Measured Photo Chemicals             ,318.06    ,270.67    ,254.43    ,Immunex Corporation               ,Elbert Glad                   ,5841 Pervades Drive       ,Fairfax, VA,22035    , 0009, 00009,Photo Chemicals        ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0079,Siena Plastic Supplies               ,155.03    ,136.43    ,132.34    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0007, 00007,Plastic Supplies       ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0080,Temporally Plastic Supplies          ,477.53    ,408.29    ,371.54    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0007, 00007,Plastic Supplies       ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0081,Palm Polishing Equipment             ,122.39    ,105.38    ,103.27    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0082,Numerals Covers                      ,102.87    ,88.98     ,83.64     ,Sinclair Broadcast Group Incorpora,Carla Shelby                  ,6037 Ecuadorian Street    ,Clinton, MI,49236    , 0013, 00013,Covers                 ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0083,Horses Lifts                         ,487.3     ,402.51    ,366.28    ,Saurer Gruppe Holding Agency      ,Pearce Valdez                 ,3727 Elms Drive           ,South Saint Paul, MN,55077    , 0014, 00014,Lifts                  ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0084,Unjust Paper Supplies                ,222.48    ,182.21    ,176.74    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0006, 00006,Paper Supplies         ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0085,Disallow Manufacturing Equipment     ,165.24    ,145.91    ,144.45    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0086,Soya Cleaning Supplies               ,406.93    ,345.89    ,345.89    ,Specialty Teleconstructors Incorpo,Zylina Cox                    ,2161 Chalmers Street      ,Salinas, CA,93905    , 0005, 00005,Cleaning Supplies      ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0087,Suing Manufacturing Equipment        ,482.16    ,426.71    ,401.11    ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0088,Vestiges Tray Supplies               ,231.45    ,192.1     ,186.34    ,Saurer Gruppe Holding Agency      ,Pearce Valdez                 ,3727 Elms Drive           ,South Saint Paul, MN,55077    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0089,Travel Paper Supplies                ,129.85    ,108.81    ,103.37    ,Saurer Gruppe Holding Agency      ,Pearce Valdez                 ,3727 Elms Drive           ,South Saint Paul, MN,55077    , 0006, 00006,Paper Supplies         ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0090,Curiouser Cleaning Supplies          ,419.36    ,364.42    ,338.91    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0005, 00005,Cleaning Supplies      ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0091,Scribble Plastic Supplies            ,492.4     ,405.74    ,397.63    ,Specialty Teleconstructors Incorpo,Zylina Cox                    ,2161 Chalmers Street      ,Salinas, CA,93905    , 0007, 00007,Plastic Supplies       ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0092,Behind Tray Supplies                 ,166.65    ,138.99    ,129.26    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0093,Bellowing Polishing Equipment        ,502.57    ,451.31    ,446.8     ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0094,Beliefs Freezing Chemicals           ,566.64    ,483.91    ,454.88    ,Immunex Corporation               ,Elbert Glad                   ,5841 Pervades Drive       ,Fairfax, VA,22035    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0095,Duplicator Polishing Equipment       ,544.28    ,465.36    ,432.78    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0096,Drafty Cleaning Supplies             ,107.13    ,92.67     ,88.96     ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0005, 00005,Cleaning Supplies      ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0097,Stickiest Paper Supplies             ,575.92    ,502.78    ,467.59    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Talahassee, FL,32304    , 0006, 00006,Paper Supplies         ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0098,Barrels Flushing Chemicals           ,135.1     ,116.59    ,108.43    ,Specialty Teleconstructors Incorpo,Zylina Cox                    ,2161 Chalmers Street      ,Salinas, CA,93905    , 0010, 00010,Flushing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0099,Richards Freezing Chemicals          ,529.35    ,475.36    ,470.61    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0100,Pervasively Manufacturing Equipment  ,374.14    ,334.86    ,308.07    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0101,Optima Cleaning Supplies             ,288.41    ,255.53    ,242.75    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0005, 00005,Cleaning Supplies      ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0102,Measured Photo Chemicals             ,318.06    ,270.67    ,254.43    ,Immunex Corporation               ,Elbert Glad                   ,5841 Pervades Drive       ,Fairfax, VA,22035    , 0009, 00009,Photo Chemicals        ,C        ,C   ,Chemicals           ,Chemicals,TPCW
